TO FIND:
101-startups + LinkedIn
2up-seed-capital-sl + LinkedIn
50tresdigital + LinkedIn
active-venture-partners + LinkedIn
ad4ventures-mediaset + LinkedIn
adara-venture-partners + LinkedIn
adastra-ventures + LinkedIn
advent-international-gmbh + LinkedIn
aggeris-venture-capital + LinkedIn
alantis + LinkedIn
aldicer + LinkedIn
alentia-capital-alternativo + LinkedIn
alma-mundi-ventures + LinkedIn
alva-house-capital + LinkedIn
amadeus-ventures + LinkedIn
ambar-venture-capital + LinkedIn
andaral-4-business + LinkedIn
angels-capital + LinkedIn
antai-venture-builder + LinkedIn
aquaservice + LinkedIn
arcano + LinkedIn
asban + LinkedIn
ascri + LinkedIn
asoc-andaluza-de-business-angels + LinkedIn
asociacion-deustobank + LinkedIn
atlantic-ban + LinkedIn
atresmedia + LinkedIn
aurorial + LinkedIn
avalanza + LinkedIn
avet-ventures + LinkedIn
axon-partners-group + LinkedIn
ayce-capital + LinkedIn
b-able + LinkedIn
b4motion + LinkedIn
bagi + LinkedIn
banc + LinkedIn
bancal + LinkedIn
gip-finanzas-corporativas + LinkedIn
bbooster-dyrecto + LinkedIn
bbva-ventures + LinkedIn
bewa7er + LinkedIn
bigban-angels + LinkedIn
big-sur-ventures + LinkedIn
bihoop + LinkedIn
binomial-investments + LinkedIn
binomio-ventures + LinkedIn
bloomium + LinkedIn
bonsai-venture-capital + LinkedIn
br-grupo-de-empresas + LinkedIn
bridgepoint + LinkedIn
bstartup-10 + LinkedIn
bstartup10 + LinkedIn
bullnet-capital + LinkedIn
business-angels-network-catalunya + LinkedIn
businessinfact + LinkedIn
cabiedes-and-partners + LinkedIn
caixa-capital-risc + LinkedIn
canguro-inversiones + LinkedIn
capital-cell + LinkedIn
capitana-venture-partners + LinkedIn
cartera-de-inversiones-cm + LinkedIn
cdti + LinkedIn
cg-health-ventures + LinkedIn
charme-capital-partners + LinkedIn
civeta-investment + LinkedIn
clave-mayor + LinkedIn
crazy4media-group + LinkedIn
crb-inverbio-cross-road-biotech + LinkedIn
fundacion-creas + LinkedIn
creoentuproyecto + LinkedIn
crowdcube-spain + LinkedIn
cube-investments + LinkedIn
cvc-capital-partners-benelux-nv-sa + LinkedIn
cyberclick + LinkedIn
dad-digital-assets-deployment + LinkedIn
danka-capital + LinkedIn
daruan-vc + LinkedIn
dcn + LinkedIn
demeter-partners + LinkedIn
diana-capital + LinkedIn
dosbio50 + LinkedIn
bbooster-seed-capital + LinkedIn
dyrecto-consultores + LinkedIn
eaf-fondo-isabel-la-catolica + LinkedIn
easo-ventures + LinkedIn
ecommerce-ventures + LinkedIn
economistes-ban + LinkedIn
einicia-crowdfunding + LinkedIn
eiti-barbera + LinkedIn
eix-technova + LinkedIn
emba-17-inversiones + LinkedIn
emprende-capital + LinkedIn
emprendetur + LinkedIn
emprendiza + LinkedIn
encomenda + LinkedIn
enisa + LinkedIn
esade-ban + LinkedIn
espiga-capital + LinkedIn
eureka-mind + LinkedIn
faraday-venture-partners + LinkedIn
fellow-funders + LinkedIn
fides-capital + LinkedIn
finaves + LinkedIn
first-tuesday-business-angels + LinkedIn
fitalent + LinkedIn
fond-ico-global + LinkedIn
fondo-de-emprendedores-fundacion-repsol + LinkedIn
fons-enginyers + LinkedIn
foro-capital-pymes + LinkedIn
foro-moderna-de-inversores-fundacion-moderna + LinkedIn
fundacion-de-la-innovacion-bankinter + LinkedIn
fundedbyme + LinkedIn
galan-consultores + LinkedIn
galdana-ventures + LinkedIn
ged + LinkedIn
genuinno + LinkedIn
gestion-de-capital-riesgo-del-pais-vasco-sgeic + LinkedIn
gin-venture-capital + LinkedIn
family-office-cladan + LinkedIn
glezco-ventures + LinkedIn
goban + LinkedIn
good-invest + LinkedIn
grupo-avanza + LinkedIn
grupo-godo + LinkedIn
grupo-intercom + LinkedIn
grupo-zriser + LinkedIn
hasten + LinkedIn
healthequity + LinkedIn
highgrowth-partners + LinkedIn
hotusa-ventures + LinkedIn
iberdrola-ventures-perseo + LinkedIn
icsw + LinkedIn
idodi-venture-capital + LinkedIn
idun-sociedad-de-inversiones + LinkedIn
ie-venture-network + LinkedIn
iese-red-de-business-angels + LinkedIn
inception-capital + LinkedIn
infema + LinkedIn
infu-capital + LinkedIn
inkemia-fondo-capital-conocimiento + LinkedIn
innoban + LinkedIn
institut-catala-de-finances-icf + LinkedIn
interalios-investments + LinkedIn
invercaria + LinkedIn
inveready + LinkedIn
inverem + LinkedIn
investarel + LinkedIn
investban + LinkedIn
invierteme-ventures + LinkedIn
ipartecnia + LinkedIn
isdi-smart-capital + LinkedIn
ivace + LinkedIn
jazzya-investments + LinkedIn
jemisyl + LinkedIn
jme-venture-capital + LinkedIn
keiretsu-forum + LinkedIn
keiretsu-forum-donostia-san-sebastian + LinkedIn
keiretsu-forum-spain + LinkedIn
kereon-partners-s-a + LinkedIn
k-fund + LinkedIn
kibo-ventures + LinkedIn
kiubick + LinkedIn
kubide-ba + LinkedIn
la-bolsa-social + LinkedIn
lanai-startup-partners + LinkedIn
lanta-digital-ventures + LinkedIn
lanzame-capital + LinkedIn
lean-investment-club + LinkedIn
lemonfruits + LinkedIn
levante-capital-partners + LinkedIn
lignum-capital-pfp + LinkedIn
lonja-de-inversion + LinkedIn
lowercase-capital + LinkedIn
making-ideas-business + LinkedIn
malaga-bussines-angels + LinkedIn
tie-line-consultores-s-l + LinkedIn
media-digital-ventures + LinkedIn
mercapital + LinkedIn
meriden-capital-partners + LinkedIn
microwave-ventures + LinkedIn
minerva-capital + LinkedIn
miura-private-equity + LinkedIn
mobius + LinkedIn
mondragon-centro-de-promocion + LinkedIn
mre-s-l + LinkedIn
murcia-ban + LinkedIn
mw-ventures + LinkedIn
red-myangeltic-business-angels + LinkedIn
mynbest + LinkedIn
nazca-capital + LinkedIn
nereo-greencapital + LinkedIn
next-capital-partners-sgecr-sa + LinkedIn
nextchance-invest + LinkedIn
ojit-venture-investements + LinkedIn
okuri-ventures + LinkedIn
omega-gestion + LinkedIn
ona-capital + LinkedIn
onza-capital + LinkedIn
openplus + LinkedIn
optare-ventures + LinkedIn
optimist-capital + LinkedIn
oriol-juncosa + LinkedIn
orza-investments + LinkedIn
padeinvest + LinkedIn
pdg-invest + LinkedIn
pinama-inversiones + LinkedIn
plan-avanza + LinkedIn
portobello-capital + LinkedIn
prisa-inn + LinkedIn
proa-capital + LinkedIn
promotora-de-iniciativas-empresariales-y-sociales-pies + LinkedIn
q-growth + LinkedIn
quadram-mobile-ventures + LinkedIn
qualitas-equity-partners-qep + LinkedIn
realiza-business-angels + LinkedIn
red-de-business-angels-de-cadiz + LinkedIn
red-goemprende-business-angels + LinkedIn
redinvest + LinkedIn
ricari + LinkedIn
rtv-capital + LinkedIn
saas-invest + LinkedIn
banc-sabadell + LinkedIn
sabadell-venture-capital-1 + LinkedIn
sabadell-venture-debt + LinkedIn
samaipata-ventures + LinkedIn
seaya-ventures + LinkedIn
secuoyas + LinkedIn
seed-capital-bizkaia + LinkedIn
seed-gipuzkoa + LinkedIn
seed-syndicates + LinkedIn
seedquick + LinkedIn
seedrocket-4founders-capital-scr-pyme + LinkedIn
seguranza-fcr + LinkedIn
semilla-expiga + LinkedIn
semilla-proyectos-internet + LinkedIn
sherpa-capital + LinkedIn
sherwood-venture-capital + LinkedIn
ship2b + LinkedIn
sidkap + LinkedIn
sinensis-scr + LinkedIn
sitka-capital + LinkedIn
smartcapital + LinkedIn
smartech-ventures + LinkedIn
sociosinversores + LinkedIn
sociosq + LinkedIn
sodena + LinkedIn
soprea + LinkedIn
soria-futuro + LinkedIn
southup-ventures + LinkedIn
springwater-capital + LinkedIn
sputnik-capital + LinkedIn
start-dmc + LinkedIn
start-up-capital-navarra + LinkedIn
starcaps-ventures + LinkedIn
startupxplore + LinkedIn
step-up-capital + LinkedIn
suma-capital + LinkedIn
swanlaab-venture-factory + LinkedIn
sxpdventures + LinkedIn
tandem-portfolio + LinkedIn
telefonica-ventures + LinkedIn
telegraph-hill-capital-thcap + LinkedIn
the-crowd-angel + LinkedIn
the-emprendedores-fund + LinkedIn
toubkal-partners + LinkedIn
tu-idea-business-angels + LinkedIn
uniempren + LinkedIn
uninvest + LinkedIn
vas-ventures + LinkedIn
vento + LinkedIn
venturcap + LinkedIn
victoria-venture-capital + LinkedIn
vigo-activo + LinkedIn
viko + LinkedIn
vitamina-k + LinkedIn
vivergi-social-impact-fund + LinkedIn
xenese-iniciativas + LinkedIn
ysios-capital + LinkedIn
zeta-venture + LinkedIn
